storeType,storeName,storeOwner,storeTelNumber,storeAddress,sd,sgg,storeArea,no,rnum
IT가전_B2B공식인증전문점,B2B가전특판,B2B가전특판,010-3655-7799,전북 전주시 완산구 효자로 92 3층,전라북도,전주시,,,1
IT가전_B2B공식인증전문점,HM토탈,HM토탈,010-8542-3609,"부산 남구 유엔평화로 114, 2층",부산광역시,남구 ,,,2
IT가전_B2B공식인증전문점,㈜가전각색,㈜가전각색,1555-5663,"서울 용산구 새창로 14길 6, 4층",서울특별시,용산구,,,3
IT가전_B2B공식인증전문점,㈜굿모닝씨티에스,㈜굿모닝씨티에스,02-3272-1140,서울 영등포구 선유로9길 10 1401호,서울특별시,영등포,,,4
IT가전_B2B공식인증전문점,㈜다온비투비,㈜다온비투비,010-4570-1551,충남 서산시 잠홍2길 5,충청남도,서산시,,,5
IT가전_B2B공식인증전문점,㈜다온시스템,㈜다온시스템,010-9130-4260,경기 고양시 덕양구 통일로770번길 35(관산동),경기도,고양시,,,6
IT가전_B2B공식인증전문점,㈜다윈네트웍,㈜다윈네트웍,010-6637-8584,인천 부평구 안남로 16번길 28 102호,인천광역시,부평구,,,7
IT가전_B2B공식인증전문점,㈜다혁,㈜다혁,070-8065-5201,"경남 창원시 성산구 반송로 43, 1층",경상남도,창원시,,,8
IT가전_B2B공식인증전문점,㈜대현플러스,㈜대현플러스,010-2915-5404,대구 수성구 공경로 31 ㈜대현플러스,대구광역시,수성구,,,9
IT가전_B2B공식인증전문점,㈜디에이블커머스,㈜디에이블커머스,02-6747-7330,경기 고양시 덕양구 으뜸로 50 덕은DMC 아이에스BIZ타워한강 A동 1608~1610,경기도,고양시,,,10
IT가전_B2B공식인증전문점,㈜디지털진,㈜디지털진,02-707-3326,"서울 동작구 대방동 15길 30, 1층",서울특별시,동작구,,,11
IT가전_B2B공식인증전문점,㈜메인텔레콤,㈜메인텔레콤,070-4481-8833,서울 마포구 모래내로5 상암우남퍼스트빌 202호,서울특별시,마포구,,,12
IT가전_B2B공식인증전문점,㈜목성엠에스,㈜목성엠에스,1899-7103,대구 북구 엑스코로 10 EXCO 서관 2층 216호,대구광역시,북구 ,,,13
IT가전_B2B공식인증전문점,㈜무비스시스템,㈜무비스시스템,010-3513-7115,대구 수성구 화랑로 150,대구광역시,수성구,,,14
